name,price,location,sold,link,date
MSI Notebook GF63 9RCX [9S7-16R312-623] - Black,10.799.000,Jakarta Pusat,11,https://www.tokopedia.com/msi-official/msi-notebook-gf63-9rcx-9s7-16r312-623-black?whid=0,22-01-2021
LAPTOP MSI GF63 9SCSR 882 i7-9750H 8GB 512GB GTX1650Ti 4GB WIN 10,13.095.000,Surabaya,6,https://www.tokopedia.com/dutasarana168/laptop-msi-gf63-9scsr-882-i7-9750h-8gb-512gb-gtx1650ti-4gb-win-10?whid=0,22-01-2021
"MSI Thin GF63 9SCSR i7-9750H GTX 1650Ti 8GB 512GB 15.6"" 9S7-16R412-882",13.362.000,Jakarta Pusat,11,https://www.tokopedia.com/distrilapid/msi-thin-gf63-9scsr-i7-9750h-gtx-1650ti-8gb-512gb-15-6-9s7-16r412-882-non-bundling?whid=0,22-01-2021
MSI GF63 THIN 9SCSR - i5-9300H 8GB 256GB SSD GTX1650 Ti Max-Q 4GB W10,11.499.000,Jakarta Barat,21,https://www.tokopedia.com/spacetech/msi-gf63-thin-9scsr-i5-9300h-8gb-256gb-ssd-gtx1650-ti-max-q-4gb-w10-883id-black?whid=0,22-01-2021
"MSI GF63-9SCSR-882 I7-9750H 8GB 512GB GTX1650Ti 4GB 15.6"" FHD IPS W10",13.999.000,Jakarta Pusat,12,https://www.tokopedia.com/collinsofficial/msi-gf63-9scsr-882-i7-9750h-8gb-512gb-gtx1650ti-4gb-15-6-fhd-ips-w10?whid=0,22-01-2021
LAPTOP MSI GF63 9SCSR 882 i7-9750H 8GB 512GB GTX1650Ti 4GB WIN 10,13.095.000,Surabaya,6,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosKfosKFHAHDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosJhHpJpoArhbm-srcHi6seFHmFiy3zwrfo5rM1i6sUfoidpHsypH_n7o_UF6AehoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z92HqjBN_1zg8JO1qRx6qjja_jzCo1B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-QuBN_S2oP7YJ__-HuVVE_OzoPJNJ1_ug8_V233Oz81h9Z_zg8jVd_32V8j7a3M2qq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PNyjrNHfgU8IoouRxfgAod6c-J_Mg6zJVR_7xd6cHp1Sz-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoqB17_c2S8JNJZ926zVBd_OzsP7NEz3BHe72E3_UN8u23692qu7gN3_-Sq1Y2Z9B6qBBO_92-HjOEz9P6zVuN_1zSHJO133BM1_7YUiFiP9oBrBY2gmUEUsnibm-pg9opq3YX9fBjUsti1Jo6r7OXuMuHQ7uMy7gR_iOt63gbZcV-yBz9qcgkesjNQACAyRzCq7Y96uzV31PO6JPb192kuRHWrMPNQpCeQMOd9pjRQ34Ry3Wge7zMZJzN_JO3zSz1Pcu6ucHNzBxfuOgvoA-F3IUW1sxeqjVgHJNbPpusruBHu1o1z1zRg_Uibm-xQcri6i-pPcOwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstfbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7oaF7HAnd9ZFiQBYsy3Njq3zxPcuwy3zpUsthbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHs1fHpHDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUseFHAKibmUp6_KaUiFiHpjFHiUDUsHNHAHibmUp6_KfUBOY?t=desktop&keywords=msi+gf63&management_type=1&ob=23&dv=desktop&src=search&page=2&r=https%3A%2F%2Fwww.tokopedia.com%2Fdutasarana168%2Flaptop-msi-gf63-9scsr-882-i7-9750h-8gb-512gb-gtx1650ti-4gb-win-10%3Fsrc%3Dtopads&is_search=1,22-01-2021
HP Pavilion Gaming 15 DK1064TX I5-10300H 8GB 512GB RTX 2060 6GB 144Hz,15.446.000,Jakarta Pusat,1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AeRoAjO6_JDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosJhHpJpoArhbm-srcHi6s1OHmFiy3zwrfo5rM1i6sUfHidNHAyOHA1a6AUf6_1Rbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O_oIBozcrF_Bz081O11_VozJ1h_uzCH1B2PfBgHO-N3Ao6QVByZM2xe7jfZ32VP1Oke_u6qMHp_jzVo1OEu_CvzJ77_SB-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7B2PfBiQ_BO3_-uq1Y2ZMOoqMoE_1zS8jN2HACo8MWE_VzzHJY9_9zgQ120_3jhq1YI_9PouJBd_926Quja33BHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZSooQ9xfgAod6c-JzSoiHfedgjPR8BxE19PozcP2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_M2zP1NEe_CvzJ7p_uzso1Y1__o681BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjja_3j7o1OJ3_VozVuN_7z-HjY1u_o-QsnYUiFiP9oBrBY2gmUEUsnibm-pg9opq3YX9fBjUsti1Jo6r7OXuMuHQ7uMy7gR_iOt63gbZcV-yBz9qcgkesjNQACAyRzCq7Y96uzV31PO6JPb192kuRHWrMPNQpCeQMOd9pjRQ34Ry3Wge7zMZJzN_JO3zSz1Pcu6ucHNzBxfuOgvoA-F3IUW1sxeqjVgHJNbPpusruBHu1o1z1zRg_Uibm-xQcri6i-0g9BRQR-j9Rz59RCaQfzOyRzwgcuMy9uDPmUDUMNOQ3-BrBY5gBYxgIHi6syDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6AeRbAeFHAxPbm-X9foxQMz2gcV7guYxgIHi6sJDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstao_ypHaFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDioAnF6mUDUsHN6AUibmUp6_naUiFiHpjFHaUDUsHN6Ayi997?r=https%3A%2F%2Fwww.tokopedia.com%2Fchocoapple%2Fhp-pavilion-gaming-15-dk1064tx-i5-10300h-8gb-512gb-rtx-2060-6gb-144hz%3Fsrc%3Dtopads&page=2&src=search&is_search=1&ob=23&dv=desktop&keywords=msi+gf63&management_type=1&t=desktop,22-01-2021
PC GAMING | i5-9400f | RTX 2060 AMP! | SSD | 8GB | RENDER DESIGN (NM) - RTX2060,11.730.500,Jakarta Utara,22,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoAy7osrpHsJDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosJhHpJpoArhbm-srcHi6seFHmFiy3zwrfo5rM1i6sUfomdNosy7HpjhopeNH_1Obm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1NAoIxoqj7p_uzV8jNJe9BozVBd_7zuq1hAZM2jZJ2Myp-3qcoW_MY-qMY2_3j7HjNk3_-6qBja_M2gHjNk3_-6qMo2_JoGrB2yQAoiH7203Ao6qMUpZMh-qMY2_1o-r7BWo9giQ1NDZ325qu2kZ_oo8jJ7_92gPJNJ__uo8_nF_jzDqjh9ZMBqzJB7332tqjOJz9BouJOE3MO6Q1B2PfBiH72F3s-DPuKa1MhszsBF3jo-ojBke3BHe72fyfODQMV9o3gsZJ2f3jx3qMzc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMHaqIgszsBF3jo-ojBke3BHe72dgVP383u36_CgufzEZ325q3-JZSoiHfedgjPR8c-I6_o-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoqMDF_c2-o1NEqpo6qjVR_1z-8JNE33BHe72E3_UN8u23692qu7gN3_-Sq1Y2Z9B6qBVO_OzgHjNJ__uoucHF_OzVH1N_Zsjibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-ee7Np_3N3g1h5z3gszSP6b3KNgjWUy1BiuVPtgM2m6_BDHJosPJV0_OrNuJugzR1dz7Wz8M29raOagRB5HVCXQ9xw6_PWQpPxqOBAzcgUzIBH_ugcPVz7g1N1ypBc3Ig9uj47HSCyriOZ6VCkeujF_jWRo3oh31hueOzVzIPBHiUDUMVDgaUEUMWB89P5rMzwPcYwrI-5gIusPVYjg3gxP3h7UiFiQSuWyMua9fYM9fVjraUEoiFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoArDoAnF6u7DUMNwyfVXgcBjy9zB9fVjraUEHZFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sUhos1Obm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aU7HAndUiFiHpjdHiUDUsHNHAUibmUp6_npUiFiHpjdoi-Pwe?page=2&ob=23&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fimbapc%2Fpc-gaming-i5-9400f-rtx-2060-amp-ssd-8gb-render-design-nm-rtx2060%3Fsrc%3Dtopads&src=search&t=desktop&keywords=msi+gf63&dv=desktop&is_search=1,22-01-2021
PC GAMING INTEL CORE I7 3770 (GT 1030 2GB DDR5),6.700.000,Bandung,1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEo_epoAyOH_nDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosJhHpJpoArhbm-srcHi6sHOHmFiy3zwrfo5rM1i6sU7Hid7oAj7HpHhH_r76_Habm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-QuBN_S2oP7YJ__-HuVVE_OzoPJNJ1_ug8_V233Oz81h9Z_zg8jVd_32V8j7a3M2qq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PNyjrNHfgU8IoouRxfgIB-r7BX_M2iH72D3A-G83UpgI2q17jfZ32-HjNAoIB6qMDa_S2uHjOk39Po8jjhZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_32z81hk1_CvuVVE_92V8JNE1_uo8jB2gBJYvZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUBCA_SooQBgB_cYVgMocP7dWqABMZ7xxZ3-1ufxMqjUN63FFefo7e3WvupB1zuBIP_xIZOVEqBPpb9-S834F1cNW8V4NofO5ofV031oJgjxJ81houjg7uIzB_Bzs61gyPBP3_pearVxabuUd1c2C3_C6ZRrOyRVg_VuAuJuJPf1aUiFiy3hSUstiqfuNPfYagVY7QOYFrMYjP3o79fzBgMVOQIeibm-XP3Oig9-wQfgwy3zpUstfbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7oaF7HAnN9ZFiQBYsy3Njq3zxPcuwy3zpUsthbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEo_e7HZFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDioAnF6mUDUsHN6AUibmUp6_naUiFiHpjFHaUDUsHN6Ayi997?r=https%3A%2F%2Fwww.tokopedia.com%2Fdiptagaming%2Fpc-gaming-intel-core-i7-3770-gt-1030-2gb-ddr5%3Fsrc%3Dtopads&src=search&management_type=1&t=desktop&keywords=msi+gf63&page=2&dv=desktop&is_search=1&ob=23,22-01-2021
PC GAMING | I5-9400f | GTX 1650 AMP! |8GB| SSD | GAMING DESIGN PC (NP) - GTX1650,7.837.500,Jakarta Utara,50,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoAy7osrpHAKDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosJhHpJpoArhbm-srcHi6seFHmFiy3zwrfo5rM1i6sUfomdF6_yOoA1OH_K76AKOomFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoq_zd_M2-8JNkZ9x6qjBd_M2-8JNkZ92-q9P23_oZ8uKp_Mhg3J2ky1o-ojBkZ9uo8MPR_Ozu81OEgRPvuVuN_92S8JB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-QuBN_S2oP7YJ__-HuVVE_OzoPJNJ1_ug8_V233Oz81h9Z_zg8jVd_32V8j7a3M2qq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PNyjrNHfgU8IoouRxfgIB-r7BX_M2iH72D3A-G83UpgI2q17jfZ32-o1NNoAVouVJh_1zg8jOJZ_Vo8jBdZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_32gHJhke_u6qB1F_Bzu8JYJ1_zvzV1FZ3dFvZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUBCA_SooQBgB_cYVgMocP7dWqABMZ7xxZ3-1ufxMqjUN63FFefo7e3WvupB1zuBIP_xIZOVEqBPpb9-S834F1cNW8V4NofO5ofV031oJgjxJ81houjg7uIzB_Bzs61gyPBP3_pearVxabuUd1c2C3_C6ZRrOyRVg_VuAuJuJPf1aUiFiy3hSUstiqfuNPfYagVY7QOYFrMYjP3o79fzBgMVOQIeibm-XP3Oig9-wQfgwy3zpUstfbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7oaF7HAnN9ZFiQBYsy3Njq3zxPcuwy3zpUsthbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHsJfo_1DUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUseFHAKibmUp6_KaUiFiHpjFHiUDUsHNHAHibmUp6_KfUBOY?is_search=1&page=2&src=search&t=desktop&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fimbapc%2Fpc-gaming-i5-9400f-gtx-1650-amp-8gb-ssd-gaming-design-pc-np-gtx1650%3Fsrc%3Dtopads&ob=23&keywords=msi+gf63&management_type=1,22-01-2021
MSI GAMING GF63 9SCXR-838 Intel i5-9300H 8GB 256GB GTX1650 4GB W10,10.999.000,Surabaya,1,https://www.tokopedia.com/dutasarana168/msi-gaming-gf63-9scxr-838-intel-i5-9300h-8gb-256gb-gtx1650-4gb-w10?whid=0,22-01-2021
LAPTOP MSI GF63 9SCSR-882|I7-9750H|8GB|512GB|GTX1650Ti 4GB|15.6|W10,13.250.000,Surabaya,1,https://www.tokopedia.com/nusajayastore/laptop-msi-gf63-9scsr-882-i7-9750h-8gb-512gb-gtx1650ti-4gb-15-6-w10?whid=0,22-01-2021
MSI GF63 THIN 9SCXR-838ID Gaming NoteBook,10.999.000,Medan,4,https://www.tokopedia.com/itgarageid/msi-gf63-thin-9scxr-838id-gaming-notebook?whid=0,22-01-2021
MSI GF63 9SCSR Core i5-9300H 8GB 256GB SSD GTX 1650Ti 9S7-16R412-883,11.615.000,Jakarta Pusat,2,https://www.tokopedia.com/agusidstoreapple/msi-gf63-9scsr-core-i5-9300h-8gb-256gb-ssd-gtx-1650ti-9s7-16r412-883-non-bundling?whid=0,22-01-2021
"MSI GF63 9SCSR 882 i7-9750H/8GB/512GB/GTX1650Ti 4GB/15,6FHD IPS/WIN10",13.499.000,Jakarta Pusat,10,https://www.tokopedia.com/infonetmanggadua/msi-gf63-9scsr-882-i7-9750h-8gb-512gb-gtx1650ti-4gb-15-6fhd-ips-win10-8-gb?whid=0,22-01-2021
"NOTEBOOK MSI GF63 9SCXR (9S7-16R412-838 ):INTEL CORE I5-9300H,8GB,256G",11.290.000,Palembang,1,https://www.tokopedia.com/mdp20111/notebook-msi-gf63-9scxr-9s7-16r412-838-intel-core-i5-9300h-8gb-256g?whid=0,22-01-2021
Laptop MSI GF63 9SC - 621 i5-9300H 256GB.SSD 8GB GTX1650-4GB Win10,12.350.000,Bandung,3,https://www.tokopedia.com/dentshop/laptop-msi-gf63-9sc-621-i5-9300h-256gb-ssd-8gb-gtx1650-4gb-win10?whid=0,22-01-2021
"MSI Thin GF63 9SCSR i5-9300H GTX 1650Ti 8GB 256GB 15.6"" 9S7-16R412-883",12.615.000,Jakarta Pusat,14,https://www.tokopedia.com/distrilapid/msi-thin-gf63-9scsr-i5-9300h-gtx-1650ti-8gb-256gb-15-6-9s7-16r412-883-bundling?whid=0,22-01-2021
LAPTOP MSI GF63 9SCSR-882 i7-9750H 8GB 512GB SSD GTX1650Ti 4GB WIN10,13.100.000,Jakarta Pusat,1,https://www.tokopedia.com/clicknetcom/laptop-msi-gf63-9scsr-882-i7-9750h-8gb-512gb-ssd-gtx1650ti-4gb-win10?whid=0,22-01-2021
MSI GF63-9SCSR-882 I7-9750H 8GB 512GB SSD GTX1650Ti 4G WIN10,13.049.000,Jakarta Pusat,7,https://www.tokopedia.com/vicmicindonesia/msi-gf63-9scsr-882-i7-9750h-8gb-512gb-ssd-gtx1650ti-4g-win10?whid=0,22-01-2021
