name,price,location,reviews,link,date
ACER PREDATOR NITRO 5 AN515-55 - i5-10300H - 8GB - 512SSD - GTX1650 4G  - WIN10 - OFFICE - FHD 144Hz,12.699.000,KOTA JAKARTA BARAT,24,https://shopee.co.id/ACER-PREDATOR-NITRO-5-AN515-55-i5-10300H-8GB-512SSD-GTX1650-4G-WIN10-OFFICE-FHD-144Hz-i.174585297.3419562795,09-10-2020
Acer i5 Gen7 RAM 8GB Nvidia 940MX Dual VGA Gaming Laptop Second E5-475 / 475G not rog asus nitro tuf,5.900.000,KOTA TANGERANG SELATAN,3,https://shopee.co.id/Acer-i5-Gen7-RAM-8GB-Nvidia-940MX-Dual-VGA-Gaming-Laptop-Second-E5-475-475G-not-rog-asus-nitro-tuf-i.6356067.2766117514,09-10-2020
ACER NITRO 5 RYZEN 5-3550H HDD RAM UP 16 Gb 1TB LAYAR IPS,10.700.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/ACER-NITRO-5-RYZEN-5-3550H-HDD-RAM-UP-16-Gb-1TB-LAYAR-IPS-i.64979891.7942154383,09-10-2020
Acer Nitro 5 AN515-54-77YU [Intel Core i7-9750H] [NH.Q59SN.008],12.999.000,KOTA JAKARTA TIMUR,4,https://shopee.co.id/Acer-Nitro-5-AN515-54-77YU-Intel-Core-i7-9750H-NH.Q59SN.008--i.37968209.2843191324,09-10-2020
Acer Predator Nitro 5 AN515-55 i5-10300H/GTX 1650 4GB/8GB/512GB W10 144Hz,12.499.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/Acer-Predator-Nitro-5-AN515-55-i5-10300H-GTX-1650-4GB-8GB-512GB-W10-144Hz-i.24011016.3743826330,09-10-2020
"ACER PREDATOR NITRO 5 AN515-55 - i5-10300H - 8GB - 512SSD - GTX1650 4G - 15.6""FHD 144Hz -W10 -OFFICE",12.699.000,KOTA JAKARTA BARAT,7,https://shopee.co.id/ACER-PREDATOR-NITRO-5-AN515-55-i5-10300H-8GB-512SSD-GTX1650-4G-15.6-FHD-144Hz-W10-OFFICE-i.30555036.6819466372,09-10-2020
ACER GAMING NITRO 5 15-54-77AS I7-9750H GTX 1660Ti 6gb 144Hz SSD 256 HDD 1TB LIKE NEW,14.800.000,KOTA BANDUNG,2,https://shopee.co.id/ACER-GAMING-NITRO-5-15-54-77AS-I7-9750H-GTX-1660Ti-6gb-144Hz-SSD-256-HDD-1TB-LIKE-NEW-i.37578094.6400436110,09-10-2020
ACER PREDATOR NITRO AN515-44 - RYZEN 5-4600H 8GB 512GB GTX1650 4GB Windows 10 home,12.499.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/ACER-PREDATOR-NITRO-AN515-44-RYZEN-5-4600H-8GB-512GB-GTX1650-4GB-Windows-10-home-i.27662413.3514114763,09-10-2020
ACER Nitro 5 AN515-55 Intel Core I5 10300H | NVidia GeForce GTX 1650Ti  4GB 144HZ,12.999.000,KOTA SURABAYA,3,https://shopee.co.id/ACER-Nitro-5-AN515-55-Intel-Core-I5-10300H-NVidia-GeForce-GTX-1650Ti-4GB-144HZ-i.229024612.4740388540,09-10-2020
"Acer Nitro 5 AN515-55-76SK [15.6"", i7-10750H, 8GB, 512GB SSD, Win10, OHS] [NH.Q7NSN.001]",16.499.000,KOTA JAKARTA TIMUR,1,https://shopee.co.id/Acer-Nitro-5-AN515-55-76SK-15.6-i7-10750H-8GB-512GB-SSD-Win10-OHS-NH.Q7NSN.001--i.37968209.7542668708,09-10-2020
Acer Predator Nitro 5 Gaming Laptop i7 Gen 8 w/ GDDR5X 1060 6 GB,15.250.000,KOTA BANDUNG,2,https://shopee.co.id/Acer-Predator-Nitro-5-Gaming-Laptop-i7-Gen-8-w-GDDR5X-1060-6-GB-i.25348905.6202657862,09-10-2020
"ACER Nitro 5 AN515 54 i7 9750H 8GB 512 SSD 15,6 FHD IPS GTX 1650  Gaming Laptop",13.999.000,KOTA SURABAYA,1,https://shopee.co.id/ACER-Nitro-5-AN515-54-i7-9750H-8GB-512-SSD-15-6-FHD-IPS-GTX-1650-Gaming-Laptop-i.229024612.4537269449,09-10-2020
