name,price,location,sold,link,date
"DELL Inspiron 14-3493 [Core i3-1005G1/14""FHD/4GB/256GB SSD/Win10] - Silver",6.799.000,Kab. Batang,3,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AUOo_1hHpnDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosJFosJ7HpJ7bm-srcHi6s1FHmFiy3zwrfo5rM1i6sJa6_UXosnNHZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoepeO_92So1NkyRxo8BBd_BzC81OE1_o-q9P23_oZ8uKp_Mhg3J2ky1o-ojBkyRu6uVjp_BzgH7N13_o6uVjp_BzgoJB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qjBN_MOVHJNEe92HuJ17_92uPJNJyRxoq_Vt_OzzP7h9uMB6qjg03M2VH1NJqpzoe7BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PE3I2oo1YJZsxMzRPNyjrNHfgU8IoouRxfgAod6V1Fujx1uugvujyNzBz0gc-GHB-DyjPRgfV9o92szfhNysU7QBxy8AxuHVgUuVu3_Ogc6121qO-iZs-ZQc-IPfPxupuEy7PD83UaocNy3IKdy_o6QVtp8AxsHO-7Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_32gH1hkz9xoqBja_1zgH7YJqpuozJjpZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_32S81hku_uvuJjO_OzuoJOkyRP6uV1aZ3dFvZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjdHB7DUMNwyfVXgcBjy9zB9fVjraUE6AyDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUsth6Ar7oZFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjdHiUDUsHN6AyibmUp6_KNUiFioAnF6mUDUsHdo_ei997?dv=desktop&page=1&ob=23&t=desktop&is_search=1&keywords=dell+inspiron&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fbigencomputer%2Fdell-inspiron-14-3493-core-i3-1005g1-14-fhd-4gb-256gb-ssd-win10-silver%3Fsrc%3Dtopads&src=search,14-01-2021
Dell Inspiron 15 5583 i5-8265 8GB 2TB GARANSI RESMI,11.499.000,Jakarta Utara,3,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopyNHsjFoAKDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosJFosJ7HpJ7bm-srcHi6sHOHmFiy3zwrfo5rM1i6sJaHpeXHAJh6mFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9B617BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BRZ3BRq3-W69ugHBu2_fB-81Ok3Mx6zcoR_9jF8JYJ__VHuVJp_uz-PVB1qpCoepVD332g8V2I39x6uVJO_7zCq1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGr77h6I2vucPNgjxdr7OW8IgjHRKdyjzcrfUpgAxMzjNc1snhzBzD1MgZu_uUuRBjqO298Io-zfhOypomrcoW69uGH_Jdgjg6zBUFH1g1QV-M1O1OzuPNgcWquRxpZ1PDP3HpeSCsQ_BOZsJh6cgIPI2qufedgjx6Hc-_Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBkZ_-oepzR_32-o1OkgpC68MWE_M2gHjB2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1Ok3_uHqMH7_7zoHJOke_zo8B17_M2sH7BXHA7ibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuY0rfuS9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6Ae7bAHN6A-Pbm-X9foxQMz2gcV7guYxgIHi6sKfbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEH_KRoA1DUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHN6AUibmUp6_KfUiFiHpjd6ZUDUseFHAKibmUp6A17UBOY?ob=23&is_search=1&page=1&t=desktop&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Ftokolaptopid%2Fdell-inspiron-15-5583-i5-8265-8gb-2tb-garansi-resmi%3Fsrc%3Dtopads&src=search&management_type=1&keywords=dell+inspiron,14-01-2021
Dell Inspiron 5402 [Ci7-1165G7-8-512-NVD-W10-OHS-SLV],15.299.000,Depok,2,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AeO6_KO6_UDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosJFosJ7HpJ7bm-srcHi6seOHmFiy3zwrfo5rM1i6sJaHs1XHsrdHiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ32-81NWz_C68jVE_VzVoJOEu9z6zcod_3jhqJY119PHuOg2_M2cqO2kz_V6zcD7_1o-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8BxE__uvzJtdgjPR83-I6_oMZIxp_uPdPMep8AxuHVgUuVu3_Ogc61g1qfziZs-ZQc-IPfPxupuEy7PD83UaocNy3IKdu_C3ZVzuujY3zsBGucWZyjta1MhizRPSyurO8MoIQIBiHszX3Vxd6cJp_MhqHRKdypoZPJB2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1Oku_-HqB17_32gH1OEqp-6zJja_920H1B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1Ok3_oHqMrp_7z08jNk1_oo8MWN_S2-HJBXHA7ibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuY0rfuS9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6Ae7bAHN6A-Pbm-X9foxQMz2gcV7guYxgIHi6sKfbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEoAUOH_jDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHN6AUibmUp6_KfUiFiHpjd6ZUDUseFHAKibmUp6A17UBOY?src=search&ob=23&is_search=1&keywords=dell+inspiron&dv=desktop&page=1&management_type=2&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fhirotech%2Fdell-inspiron-5402-ci7-1165g7-8-512-nvd-w10-ohs-slv%3Fsrc%3Dtopads,14-01-2021
DELL INSPIRON 3881 i7 10700F 16GB 512GB GTX1660 W10H,16.990.000,Jakarta Utara,7,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopeNosK7o_nDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosJFosJ7HpJ7bm-srcHi6sUa6mFiy3zwrfo5rM1i6sJhoAyXopjNHaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_zd_32uq1hAZM2jZJ2Myp-3qcoW_MY-qMY2_jo-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7B2PfBiQ_BO3_-uq1Y2Z9BoqB2t_jzsP7ONHIxvzJ7h_VzzH7O1Z9zgucDF_1HhQVBk39xqzOBd_Bzzo1YJe3BHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZSooH_xE_OzS83gU8IooQ9xfgAod6c-JzSoiHfedgjg6zBUFH1g1QV-M1B1OZVPNgcWquRxpZ1PDP3HpeSCsQ_BOZsJh6cgc_jgZHAVcuchZgBouo1u983z03BPdr7BIQIusH7-Fyf7NP1thH_xMzRzE3BPj6cgU_sCi17BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjja_1H7H7N1Z9xvzJud_7zoP7N119x-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqBuR_c2s81O1_9P6qjBN_OzVoJNke_o-QsnYUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Ka9ZFiQBYsy3Njq3zxPcuwy3zpUstdoiFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sJdopeObm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6_KaUiFiHpjdoiUDUsHN6AjibmU7HAndUiFiHpKOom-Pwe?r=https%3A%2F%2Fwww.tokopedia.com%2Findotech21%2Fdell-inspiron-3881-i7-10700f-16gb-512gb-gtx1660-w10h%3Fsrc%3Dtopads&page=1&t=desktop&src=search&ob=23&dv=desktop&is_search=1&management_type=1&keywords=dell+inspiron,14-01-2021
Dell Inspiron AIO 5400 [Ci7-1165G7-8-256+1T-NVD-W10-BLK],14.499.000,Depok,15,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopKNopjfoAUDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosJFosJ7HpJ7bm-srcHi6srNomFiy3zwrfo5rM1i6s1dHmdpH_yObm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAoAuvzJVE_Oz-8JN13_z6qjjp_jzu8JB2PfBgHO-N3Ao6QVByZM2xe7jfZ32zP1Nku9xouVBN_S20P7Nkqpo6qMHhZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBkZ9B6Q11F_S2C8jh1z_zo8Bu7_jzs8JO2H3xvuVVR_VP3q1NkzMWqqj1h_jz0oJOAZ9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBWPRBizpjpgjxdr77h6I2vzV1Fgjxdr7O98IgjHRKdu_C3ZVzuujY3zsBcucWjyjta1MhizRPSyurO8MoIQIBiHszX3Vxd6V1Fujx1uugvujyNZBz01M-GHB-DyjPRgfV9o92szfhNysU7QBxy8AxxH7ND3sod6cHp1Sz-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoqMHh_c2SoJO1Z_C68jON_S2So1O1z3BHe72E3_UN8u23692qu7gN3_-Sq1Y2Z9BvzcoO_uzz8jOkyp-o8MDh_jzsH1N_Zsjibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuY0rfuS9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFa6_KDHpKOoV7DUMNwyfVXgcBjy9zB9fVjraUE6AyDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUsthHAyfHaFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjdHiUDUsHN6AyibmUp6_KNUiFioAnF6mUDUsHdo_ei997?src=search&keywords=dell+inspiron&page=1&ob=23&t=desktop&is_search=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fhirotech%2Fdell-inspiron-aio-5400-ci7-1165g7-8-256-1t-nvd-w10-blk%3Fsrc%3Dtopads&management_type=2&dv=desktop,14-01-2021
Dell Inspiron 5502 [Ci7-1165G7-8-512-NVD-W10-OHS-SLV] DELL OFFICIAL,15.499.000,Jakarta Pusat,7,https://www.tokopedia.com/dellid/dell-inspiron-5502-ci7-1165g7-8-512-nvd-w10-ohs-slv-dell-official?whid=0,14-01-2021
Dell Inspiron 5301 [Ci7-1165G7-8-512-NVD-W10-OHS-FP-SLV] DELL OFFICIAL,16.499.000,Jakarta Pusat,3,https://www.tokopedia.com/dellid/dell-inspiron-5301-ci7-1165g7-8-512-nvd-w10-ohs-fp-slv-dell-official?whid=0,14-01-2021
Dell Inspiron 3671 MT Desktop PC (Ci5 -9400 - 8GB - 1TB - WIN10),8.799.000,Jakarta Barat,7,https://www.tokopedia.com/macroniconline/dell-inspiron-3671-mt-desktop-pc-ci5-9400-8gb-1tb-win10?whid=0,14-01-2021
"DELL Inspiron 3493 (14"" Inch) Core i5-1035G1/8GB/256GB SSD/WIN10HOME",10.000.000,Jakarta Pusat,8,https://www.tokopedia.com/bestechno88/dell-inspiron-3493-14-inch-core-i5-1035g1-8gb-256gb-ssd-win10home?whid=0,14-01-2021
Dell Inspiron 5406 [Ci7-1165G7-8-512-NVD-W10-OHS-SLV] DELL OFFICIAL,15.999.000,Jakarta Pusat,6,https://www.tokopedia.com/dellid/dell-inspiron-5406-ci7-1165g7-8-512-nvd-w10-ohs-slv-dell-official?whid=0,14-01-2021
