name,price,location,sold,link,date
HP 14s-cf3040TU 14 Inch HD/i3-1005G1/4GB/1TB HDD/UMA/Win10 Home + OHS 2019,7.499.000,KOTA TANGERANG,0,https://shopee.co.id/HP-14s-cf3040TU-14-Inch-HD-i3-1005G1-4GB-1TB-HDD-UMA-Win10-Home-OHS-2019-i.127677524.7064819845,18-01-2021
HP PAVILION GAMING 15-ec1077ax Ryzen 5 4600H 512 GB 16GB GTX 1650 144Hz W10+OHS,12.999.000,KOTA JAKARTA BARAT,3,https://shopee.co.id/HP-PAVILION-GAMING-15-ec1077ax-Ryzen-5-4600H-512-GB-16GB-GTX-1650-144Hz-W10-OHS-i.30121154.1449225734,18-01-2021
HP Envy 13 X360 Touch i7 1165G7 8GB 512ssd W10 13.3FHD GLD,16.399.000,KOTA JAKARTA SELATAN,1,https://shopee.co.id/HP-Envy-13-X360-Touch-i7-1165G7-8GB-512ssd-W10-13.3FHD-GLD-i.243265767.5770404802,18-01-2021
HP Envy 13 X360 Touch i7 1165G7 8GB 512ssd W10 13.3FHD,16.399.000,KOTA JAKARTA UTARA,2,https://shopee.co.id/HP-Envy-13-X360-Touch-i7-1165G7-8GB-512ssd-W10-13.3FHD-i.15641210.3864927635,18-01-2021
HP Envy X360 Convertible Ryzen 7 SSD 512GB,8.750.000,KAB. PONOROGO,1,https://shopee.co.id/HP-Envy-X360-Convertible-Ryzen-7-SSD-512GB-i.7875861.5855560999,18-01-2021
HP ENVY 13 i7 1165G7 - TOUCHSCREEN - INTEL IRIS XE - 8GB RAM - 512gb ssd,16.799.000,KOTA JAKARTA PUSAT,3,https://shopee.co.id/HP-ENVY-13-i7-1165G7-TOUCHSCREEN-INTEL-IRIS-XE-8GB-RAM-512gb-ssd-i.259973835.6464497526,18-01-2021
"HP Envy 13-BA1033TX 1032TX i7 1165G7 16GB 512GB MX450 13.3"" FHD Touch OHS 2019 Win 10",20.499.000,KOTA JAKARTA PUSAT,50,https://shopee.co.id/HP-Envy-13-BA1033TX-1032TX-i7-1165G7-16GB-512GB-MX450-13.3-FHD-Touch-OHS-2019-Win-10-i.148846460.4440739159,18-01-2021
HP ENVY 15 - RYZEN 7 4700U - 512GB SSD - 8GB RAM - WINDOWS 10,14.799.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/HP-ENVY-15-RYZEN-7-4700U-512GB-SSD-8GB-RAM-WINDOWS-10-i.259973835.7661794551,18-01-2021
"HP Envy x360 15 Ryzen 5-4500U 8GB 256GB Radeon Vega 8 Win10 15,6 FHD",11.899.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/HP-Envy-x360-15-Ryzen-5-4500U-8GB-256GB-Radeon-Vega-8-Win10-15-6-FHD-i.47045592.7950164271,18-01-2021
Laptop HP Envy 13 ba1030TX 2in1 Touch i5 1135G7 8GB 512ssd MX450 2GB W10 + OHS 2019,16.653.000,KOTA JAKARTA PUSAT,49,https://shopee.co.id/Laptop-HP-Envy-13-ba1030TX-2in1-Touch-i5-1135G7-8GB-512ssd-MX450-2GB-W10-OHS-2019-i.148846460.4841564802,18-01-2021
HP Envy 13 X360 Touch Ryzen 7 4800 8GB 512ssd Vega7 W10 13.3FHD,15.099.000,KOTA JAKARTA UTARA,2,https://shopee.co.id/HP-Envy-13-X360-Touch-Ryzen-7-4800-8GB-512ssd-Vega7-W10-13.3FHD-i.15641210.4263844552,18-01-2021
"HP - ENVY x360 2-in-1 15.6"" Touch-Screen - AMD Ryzen 5 4500 - 8GB - 512GB SSD - Nightfall Black",12.699.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/HP-ENVY-x360-2-in-1-15.6-Touch-Screen-AMD-Ryzen-5-4500-8GB-512GB-SSD-Nightfall-Black-i.259973835.3972686035,18-01-2021
Laptop HP Envy 13 X360 Touch | Ryzen 7 4800 8GB 512ssd Vega7 W10 13.3FHD |,15.099.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/Laptop-HP-Envy-13-X360-Touch-Ryzen-7-4800-8GB-512ssd-Vega7-W10-13.3FHD--i.217781231.3929019800,18-01-2021
Laptop HP Envy X360 Ryzen 5 2500u 8GB/1TB Radeon Vega 8 Windows10 Touchscreen,8.990.000,KOTA BANDUNG,1,https://shopee.co.id/Laptop-HP-Envy-X360-Ryzen-5-2500u-8GB-1TB-Radeon-Vega-8-Windows10-Touchscreen-i.100409425.3228844224,18-01-2021
LAPTOP HP ENVY 13 i7 8565 8GB 256SSD W10 13.3FHD,12.199.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/LAPTOP-HP-ENVY-13-i7-8565-8GB-256SSD-W10-13.3FHD-i.270342862.6838002435,18-01-2021
