name,price,location,reviews,link,date
HP OMEN 15-ek0045TX i7-10750H 512GB SSD 16GB GTX 1650 Ti 4GB WIN10+OHS,18.499.000,Jakarta Barat, 5,https://www.tokopedia.com/sinarmulia/hp-omen-15-ek0045tx-i7-10750h-512gb-ssd-16gb-gtx-1650-ti-4gb-win10-ohs?whid=0,26-10-2020
HP OMEN 15 en0013ax | Ryzen 7 4800H 16GB 512SSD RTX2060 6GB W10,22.000.000,Jakarta Utara, 19,https://www.tokopedia.com/amd-id/hp-omen-15-en0013ax-ryzen-7-4800h-16gb-512ssd-rtx2060-6gb-w10?whid=0,26-10-2020
NEW HP OMEN 15-EK0044TX i7-10750H 16GB 1TB SSD RTX2060 6GB W10 144Hz,23.999.000,Jakarta Pusat, 3,https://www.tokopedia.com/protechcom/new-hp-omen-15-ek0044tx-i7-10750h-16gb-1tb-ssd-rtx2060-6gb-w10-144hz?whid=0,26-10-2020
HP OMEN 15-en0013AX RYZEN 7-4800H 512GB SSD 144hz 16GB RTX 2060 6GB,22.000.000,Jakarta Barat, 10,https://www.tokopedia.com/sinarmulia/hp-omen-15-en0013ax-ryzen-7-4800h-512gb-ssd-144hz-16gb-rtx-2060-6gb?whid=0,26-10-2020
HP OMEN 15-EK0044TX i7-10750H 16GB 1TB RTX2060 6GB 144Hz Win10+OHS,23.999.000,Jakarta Barat, 4,https://www.tokopedia.com/sinarmulia/hp-omen-15-ek0044tx-i7-10750h-16gb-1tb-rtx2060-6gb-144hz-win10-ohs?whid=0,26-10-2020
HP OMEN 15 144hz AMD Ryzen 7 4800H 16GB 512ssd GTX1660TI 6GB W10,18.999.000,Jakarta Utara, 6,https://www.tokopedia.com/toptech/hp-omen-15-144hz-amd-ryzen-7-4800h-16gb-512ssd-gtx1660ti-6gb-w10-hitam?whid=0,26-10-2020
HP Omen 15-en0013AX Ryzen 7 4800H 16GB 512ssd RTX2060 6GB W10+OHS 15,21.499.000,Jakarta Utara, 1,https://www.tokopedia.com/rogsstoreid/hp-omen-15-en0013ax-ryzen-7-4800h-16gb-512ssd-rtx2060-6gb-w10-ohs-15?whid=0,26-10-2020
HP Omen 15-en0013AX Ryzen 7 4800H 16GB 512ssd RTX2060 6GB W10+OHS,21.499.000,Jakarta Utara, 1,https://www.tokopedia.com/mimomart/hp-omen-15-en0013ax-ryzen-7-4800h-16gb-512ssd-rtx2060-6gb-w10-ohs?whid=0,26-10-2020
HP Omen 15-en0013AX Ryzen 7 4800H 16GB 512GB-SSD RTX2060 6GB 144HZ,21.499.000,Jakarta Utara, 2,https://www.tokopedia.com/envicstore/hp-omen-15-en0013ax-ryzen-7-4800h-16gb-512gb-ssd-rtx2060-6gb-144hz?whid=0,26-10-2020
HP Omen 15-dh1020TX i7 10750H 32GB 1TB+512ssd 15.6FHD W10+OHS,32.899.000,Jakarta Utara, 2,https://www.tokopedia.com/agresid/hp-omen-15-dh1020tx-i7-10750h-32gb-1tb-512ssd-15-6fhd-w10-ohs?whid=0,26-10-2020
HP Omen 15 en0013AX - Amd Ryzen 7 4800H 16GB 512ssd RTX2060 6GB W10,22.499.000,Jakarta Utara, 3,https://www.tokopedia.com/toptech/hp-omen-15-en0013ax-amd-ryzen-7-4800h-16gb-512ssd-rtx2060-6gb-w10-hitam?whid=0,26-10-2020
HP Omen 17 Monster Gaming i7 GDDR5X 1060 SSD + 2 TB HDD,13.999.000,Bandung, 1,https://www.tokopedia.com/gandante/hp-omen-17-monster-gaming-i7-gddr5x-1060-ssd-2-tb-hdd?whid=0,26-10-2020
HP Laptop OMEN 15-EK0044TX Intel i7-10750H 16GB 1TB RTX2060 W10+OHS,23.999.000,Jakarta Pusat, 1,https://www.tokopedia.com/virtualtech9/hp-laptop-omen-15-ek0044tx-intel-i7-10750h-16gb-1tb-rtx2060-w10-ohs?whid=0,26-10-2020
HP OMEN 15 en0013ax | RTX2060 | Ryzen 7 4800H 16GB 512SSD W10 PLUS OHS,21.599.000,Jakarta Utara, 1,https://www.tokopedia.com/seits/hp-omen-15-en0013ax-rtx2060-ryzen-7-4800h-16gb-512ssd-w10-plus-ohs?whid=0,26-10-2020
HP OMEN 15 ek0044TX 144HZ i7 10750H 16GB 1TBssd RTX2060 6GB W10+OHS,24.599.000,Jakarta Utara, 1,https://www.tokopedia.com/toptech/hp-omen-15-ek0044tx-144hz-i7-10750h-16gb-1tbssd-rtx2060-6gb-w10-ohs-hitam?whid=0,26-10-2020
HP Laptop OMEN 15-EK0045TX Intel i7-10750H 16GB 512GB GTX1650Ti W10,18.499.000,Jakarta Pusat, 2,https://www.tokopedia.com/globalpersadasys/hp-laptop-omen-15-ek0045tx-intel-i7-10750h-16gb-512gb-gtx1650ti-w10?whid=0,26-10-2020
Laptop HP Omen 15 - GTX1650 4GB i7-9750 8GB 512SSD Win10Home 15.6FHD,15.599.000,Jakarta Utara, 2,https://www.tokopedia.com/gateway/laptop-hp-omen-15-gtx1650-4gb-i7-9750-8gb-512ssd-win10home-15-6fhd-ram-16gb?whid=0,26-10-2020
"HP OMEN 15-ek0044TX - i7-10750H 16GB 1TB SSD RTX 2060 6GB 15.6"" 144Hz",24.999.000,Jakarta Pusat, 3,https://www.tokopedia.com/collinsofficial/hp-omen-15-ek0044tx-i7-10750h-16gb-1tb-ssd-rtx-2060-6gb-15-6-144hz?whid=0,26-10-2020
HP Omen 15 i7 9750 16GB 1TB ssd RTX2060 6GB W10 15.6FHD,20.699.000,Jakarta Utara, 2,https://www.tokopedia.com/mimomart/hp-omen-15-i7-9750-16gb-1tb-ssd-rtx2060-6gb-w10-15-6fhd-512gb-ssd?whid=0,26-10-2020
