name,price,location,sold,link,date
Acer Aspire 5 A514-53 i3-1005G1 4GB 512GB FREE Office GARANSI RESMI,7.350.000,Jakarta Utara,8,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosrRHsHO6AyDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosJFosJ7HAnFbm-srcHi6s1OHmFiy3zwrfo5rM1i6sJposUXHsyDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1H7o1NEe_z68j7p_7zgHJOJypo6qBjOZ3BRqujp1SByH7ND3uxGqMVAZ_g-qjuR_c2So1NJqpCouVBE_jz-HJO1Z_C6q1BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BRZ3BRq3-W69ugHBu2_fB-oVBkqRBozJ20_3jFH1YJ1MWHuV-t_BzgPVB11MWq1pV0_1P-H1Y1e_z68jN233Ooq1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGr77h6I2vucPNgjxdr7OW8IgjHRKdyjzcrfUpgAxMzjNc1snhzBzD1Mg_u_uVuRBjqVjauSB-z7gEy7PD8u2_gczMZIx11Buj_B-uouuyHVgv1sVpQBB9_Mhsq1-typomrcoWu3Ny3IKdy_o6QVtp8AxsHO-7Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_32SP7hkZ_oozcHh_BzsH7Nku92vuJO2_JoG8Bja69BqusBE3BPc8ujagfBvq1BN_OzoP1Okz9xo8BuE_jzV81OJz_C6zJO2gBJYvZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjdHB7DUMNwyfVXgcBjy9zB9fVjraUE6AnDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstaHpJOHaFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjdHiUDUsHN6AyibmU7HAndUiFiHpjNHaUDUsHN6Aji997?is_search=1&keywords=acer+aspire&t=desktop&ob=23&management_type=1&page=1&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Ftokolaptopid%2Facer-aspire-5-a514-53-i3-1005g1-4gb-512gb-free-office-garansi-resmi%3Fsrc%3Dtopads&src=search,14-01-2021
Acer Aspire 3 A314-22 Athlon Silver A3050 + FHD + SSD 256GB + Office,5.555.000,Surabaya,11,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6A1p6AjfoAHDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosJFosJ7HAnFbm-srcHi6seFHmFiy3zwrfo5rM1i6sJaopjXH_rR6ZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_zE_OzSP7N1gRB6uJjF_32s8JYJ192-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk39uvuJ7a_jzVHjO1gpCvucod_1z0H7N_Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1j7332081OJZMWoq_nh_7zZq7h11Mx6uVB73uzZqO2_H3Woz7jh_OzCoJNE_MBgQ1O2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12p__Jd8jY1gRBMZIxp_3OdPMep8AxizJgpysoj6cgc_jgZHAVcuchZgBouo1u983zt3_-381BIzS2szfhN3BojgcgU8VzZu3z61B1OuuKFujYZH9oX3uP6Qco2eMxsH7-FyfOuQBxy8AxxH7ND3sod6cHp1Sz-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoqMPR_c2o81NEypo6zJJF_M2VH7OEgR2-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMHh_c2o81YJgp-ouJJh_BzzH1Y1qfBM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Ka9ZFiQBYsy3Njq3zxPcuwy3zpUstdHmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sJNosn7bm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6_KaUiFiHpjdoiUDUseFHAKibmUp6_jpUiFiHpjd6Z-Pwe?ob=23&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Ftrinityitzone%2Facer-aspire-3-a314-22-athlon-silver-a3050-fhd-ssd-256gb-office%3Fsrc%3Dtopads&keywords=acer+aspire&dv=desktop&src=search&t=desktop&page=1&is_search=1,14-01-2021
"ACER ASPIRE 3 SLIM A314 AMD ATHLON 3050/4GB/SSD 256GB/14""FHD/WIN10/OHS",6.299.000,Medan,1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AUF6Anf6_nDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosJFosJ7HAnFbm-srcHi6sUOomFiy3zwrfo5rM1i6sJhoA1XosKp6mFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoq_ea_jz0P7OJ3_-oqjjh_uzgH1N13_V-q9P23_oZ8uKp_Mhg3J2ky1o-ojBke3BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2_7P-o1Oke9BqzJB7_BzSHV2AHACguV1a_VPVHV2Iu9zqzJ-2_Bz0P7YJyR2gQ12kZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2yjz6gjOEqpzoQSKdyjzGrfUpgAxMzRPdyjrNHfgU8VzZu3z61B1OuuKFQJYZzSoX3uP6Qco2eMxsH7-FyfOuQBxy8AxuHVgUuVu3_Ogc61g1qfziZs-cqB2yZ3Pg3JNRyuxGQJthH_xMzRzE3BPj6cgU_sCi17BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjjp_1H7HJNEu_Co8jjh_92Co1O1u_-681BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjjF_Mj7H1Y1u_o6ucHh_7zSHJNke_-o81tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Ka9ZFiQBYsy3Njq3zxPcuwy3zpUstdHmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6seF6_jDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHN6AUibmUp6_KfUiFioAnF6mUDUsHN6_HibmUp6_KNUBOY?page=1&ob=23&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fmajumandiricom-1%2Facer-aspire-3-slim-a314-amd-athlon-3050-4gb-ssd-256gb-14-fhd-win10-ohs%3Fsrc%3Dtopads&src=search&keywords=acer+aspire&t=desktop&management_type=1&is_search=1,14-01-2021
"Acer Aspire 5 A514-53 - i3-1005G1 8GB 512GB + INTEL OPTANE 14"" W10 OHS",7.750.000,Kediri,3,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopHdH_eNHpKDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosJFosJ7HAnFbm-srcHi6s1OHmFiy3zwrfo5rM1i6s1dHZd7osUhbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O2oAzvzVJa_uzu8jYJ1_-ouVuE_7zzHjB2PfBgHO-N3Ao6QVByZM2xe7jfZ32oP1OEgpuvzJOR_BzCoJNJypC6ucHaZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBkqcBvuJBR_3Oz81h1u_z6zOV7_jPVH1N2H3x6zO-D_VPzPOBku_uozcrp__-GquBNZ9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBWPRBizpjpgjxdr77h6I2vucragjxdr7O98IgjHRKdu_C3ZVzuujY3zsBGucWZyjtazM2q3JBS3ux6PfVyZMhGH_Jdgjg6zBUFH1g1QV-M1B1OZVPNgcxgHBgNZ1Pc8MoIQIBq1fzjgjxdrMHauMNMZIxEgJrFq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-81NEqRuo8jjp_uzs81Ok1_uozcWR_32sq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-81NkqRu6qMDF_7zgH7NJe_C6zVjF_SBG6ZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjdoB7DUMNwyfVXgcBjy9zB9fVjraUE6AnDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUst76_HFHaFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjdHiUDUsHN6AyibmU7HAndUiFiHpjNHaUDUsHN6Aji997?src=search&ob=23&management_type=1&keywords=acer+aspire&is_search=1&r=https%3A%2F%2Fwww.tokopedia.com%2Frajacomkdr%2Facer-aspire-5-a514-53-i3-1005g1-8gb-512gb-intel-optane-14-w10-ohs%3Fsrc%3Dtopads&dv=desktop&page=1&t=desktop,14-01-2021
Acer Aspire 514-53G-52SR with Intel i5 10th Gen and NVIDIA MX350,8.650.000,Surakarta,4,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AnNoseOo_JDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosJFosJ7HAnFbm-srcHi6seFHmFiy3zwrfo5rM1i6s1p6ZdfHAeObm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qMx2_Oz-P7OW19BHuV17_jPzPJNIz_V6q_Vt_jPZQJh919PgqB1O_1zSH77aZMBg81BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PNyjrNHfgU8IoouRxfgAod6c-J_Mg6zJVR_7xd6V1Fujx1uugvujyNZBz01M-GHjgk3Bx-gOBy_SPx3J2DZsJh6cgc_jgZHAVcuchZgB-uo1x983zt3_-381BIzS2szfhN3BojgcgU8I-sHBgXgjxd8MzIHcBHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z9B6ucoO_M2goJNkz_Coqjud_1zgH7N_Z9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBkZ_-o1peh_M2oP7OJgRBozcWN_Bz-oJNNZsjibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuY0rfuS9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6AeRbAeFHAxPbm-X9foxQMz2gcV7guYxgIHi6sKFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEH_jfHAeDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHN6AUibmUp6_KfUiFioAnF6mUDUsHN6_HibmUp6_KNUBOY?r=https%3A%2F%2Fwww.tokopedia.com%2Fariekakakoesnadi%2Facer-aspire-514-53g-52sr-with-intel-i5-10th-gen-and-nvidia-mx350%3Fsrc%3Dtopads&page=1&management_type=1&dv=desktop&t=desktop&ob=23&is_search=1&keywords=acer+aspire&src=search,14-01-2021
"Acer Aspire 5 A514-53 - i3-1005G1 4GB 512GB + INTEL OPTANE 14"" W10 OHS",7.399.000,Jakarta Pusat,190,https://www.tokopedia.com/collinsofficial/acer-aspire-5-a514-53-i3-1005g1-4gb-512gb-intel-optane-14-w10-ohs?whid=0,14-01-2021
"LAPTOP ACER ASPIRE 5-A514 I3-1005G1 8GB 512GB+OPTANE 32GB 14"" W10 OHS",7.949.000,Jakarta Pusat,43,https://www.tokopedia.com/zxcomputer/laptop-acer-aspire-5-a514-i3-1005g1-8gb-512gb-optane-32gb-14-w10-ohs?whid=0,14-01-2021
"LAPTOP ACER ASPIRE 3 A314-22 AMD ATHLON 3050U 4GB 256GB 14"" FHD W10",5.949.000,Jakarta Pusat,72,https://www.tokopedia.com/protechcom/laptop-acer-aspire-3-a314-22-amd-athlon-3050u-4gb-256gb-14-fhd-w10?whid=0,14-01-2021
"Acer Aspire 3 Slim A314-22 AMD RYZEN 3-3250U 4GB 256GB 14"" FHD W10 OHS",6.799.000,Jakarta Pusat,39,https://www.tokopedia.com/collinsofficial/acer-aspire-3-slim-a314-22-amd-ryzen-3-3250u-4gb-256gb-14-fhd-w10-ohs?whid=0,14-01-2021
"Acer Aspire 3 Slim A314-22 AMD Athlon 3050U 4GB 256GB 14"" FHD W10 OHS",5.949.000,Jakarta Pusat,106,https://www.tokopedia.com/collinsofficial/acer-aspire-3-slim-a314-22-amd-athlon-3050u-4gb-256gb-14-fhd-w10-ohs?whid=0,14-01-2021
