name,price,location,reviews,link,date
Laptop Gaming MSI GF63 Thin 9SCSR Core i7-9750H GTX 1650Ti 8GB 512GB 15.6 Inch FHD 9S7-16R412-882,12.883.000,KOTA JAKARTA PUSAT,0,https://shopee.co.id/Laptop-Gaming-MSI-GF63-Thin-9SCSR-Core-i7-9750H-GTX-1650Ti-8GB-512GB-15.6-Inch-FHD-9S7-16R412-882-i.148846460.6853488934,13-10-2020
Laptop Gaming MSI GF63 Thin 10SCSR i7-10750 GTX 1650Ti 8GB 512GB 15.6 Inch FHD 144Hz 9S7-16R412-677,15.436.000,KOTA JAKARTA PUSAT,0,https://shopee.co.id/Laptop-Gaming-MSI-GF63-Thin-10SCSR-i7-10750-GTX-1650Ti-8GB-512GB-15.6-Inch-FHD-144Hz-9S7-16R412-677-i.148846460.6953488461,13-10-2020
Laptop Gaming MSI GF65 Thin 10SDR i7-10750H GTX 1660Ti 144Hz 8GB 512GB 15.6 FHD 144Hz 9S7-16W112-845,17.734.000,KOTA JAKARTA PUSAT,0,https://shopee.co.id/Laptop-Gaming-MSI-GF65-Thin-10SDR-i7-10750H-GTX-1660Ti-144Hz-8GB-512GB-15.6-FHD-144Hz-9S7-16W112-845-i.148846460.6748242609,13-10-2020
Laptop Gaming MSI GF63 Thin 9SCSR Core i5-9300H GTX 1650Ti 8GB 256GB 15.6 Inch FHD 9S7-16R412-883,11.223.000,KOTA JAKARTA PUSAT,0,https://shopee.co.id/Laptop-Gaming-MSI-GF63-Thin-9SCSR-Core-i5-9300H-GTX-1650Ti-8GB-256GB-15.6-Inch-FHD-9S7-16R412-883-i.148846460.4653486597,13-10-2020
MSI GF63 Thin 9SCSR (9S7-16R412-883),11.499.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/MSI-GF63-Thin-9SCSR-(9S7-16R412-883)-i.95106793.6753860646,13-10-2020
MSI GF63 Thin i5-9300H 256GB SSD 8GB GTX 1650 Ti Max-Q Win 10,11.499.000,KOTA JAKARTA BARAT,1,https://shopee.co.id/MSI-GF63-Thin-i5-9300H-256GB-SSD-8GB-GTX-1650-Ti-Max-Q-Win-10-i.30121154.1321285127,13-10-2020
Laptop GAMING MSI GF63 Thin 9RCX 623ID 9S7 16R312 623,12.500.000,KOTA MALANG,1,https://shopee.co.id/Laptop-GAMING-MSI-GF63-Thin-9RCX-623ID-9S7-16R312-623-i.46726200.6106121782,13-10-2020
"MSI GF63 THIN 9SCSR 833 - i5-9300H - 8GB - 256GB SSD - GTX1650Ti Max Q 4GB - 15""FHD - WIN10",11.375.000,KOTA JAKARTA BARAT,3,https://shopee.co.id/MSI-GF63-THIN-9SCSR-833-i5-9300H-8GB-256GB-SSD-GTX1650Ti-Max-Q-4GB-15-FHD-WIN10-i.174585297.7515514040,13-10-2020
"MSI GF63 Thin 10SCSR - i7-10750H - 8GB - GTX1650Ti Max-Q 4GB - 512GB SSD - 15,6""FHD 144Hz - Win10",15.349.000,KOTA JAKARTA BARAT,13,https://shopee.co.id/MSI-GF63-Thin-10SCSR-i7-10750H-8GB-GTX1650Ti-Max-Q-4GB-512GB-SSD-15-6-FHD-144Hz-Win10-i.30555036.7315415466,13-10-2020
Laptop Gaming MSI GF63 THIN 10SCSR - 677id BONUS HEADSET DAN MASKER,15.839.010,KOTA TANGERANG SELATAN,1,https://shopee.co.id/Laptop-Gaming-MSI-GF63-THIN-10SCSR-677id-BONUS-HEADSET-DAN-MASKER-i.155149633.7543225411,13-10-2020
NEW MSI GF75-9RCX 270ID THIN GAMING NOTEBOOK,14.499.000,KOTA MEDAN,1,https://shopee.co.id/NEW-MSI-GF75-9RCX-270ID-THIN-GAMING-NOTEBOOK-i.13315074.2689429957,13-10-2020
MSI GF75 Thin 9SC - 9S7-17F212-609,14.999.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/MSI-GF75-Thin-9SC-9S7-17F212-609-i.746822.6253369288,13-10-2020
"MSI GF63 Thin 9RCX-622ID i7-9750H/256GB/16GB/GTX1050Ti/15"" W10",14.975.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/MSI-GF63-Thin-9RCX-622ID-i7-9750H-256GB-16GB-GTX1050Ti-15-W10-i.24011016.5434106975,13-10-2020
MSI GF63 Thin 10SCSR (9S7-16R412-677),15.999.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/MSI-GF63-Thin-10SCSR-(9S7-16R412-677)-i.95106793.4529468906,13-10-2020
MSI GF65 Thin 10SDR (9S7-16W112-845),17.999.000,KOTA JAKARTA PUSAT,3,https://shopee.co.id/MSI-GF65-Thin-10SDR-(9S7-16W112-845)-i.95106793.4942681459,13-10-2020
MSI GF75 Thin 9SC - 9S7-17F212-609,14.999.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/MSI-GF75-Thin-9SC-9S7-17F212-609-i.95106793.5253367365,13-10-2020
MSI GF63 Thin 9SCSR (9S7-16R412-882),13.499.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/MSI-GF63-Thin-9SCSR-(9S7-16R412-882)-i.95106793.3553466867,13-10-2020
"MSI GF63 Thin 9SC-024ID Core i7-9750H/512GB/16GB/GTX1650/15"" W10",14.998.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/MSI-GF63-Thin-9SC-024ID-Core-i7-9750H-512GB-16GB-GTX1650-15-W10-i.24011016.7632924408,13-10-2020
MSI GF63 Thin 9SC (9S7-16R312-621),12.599.000,KOTA JAKARTA PUSAT,7,https://shopee.co.id/MSI-GF63-Thin-9SC-(9S7-16R312-621)-i.95106793.2858808884,13-10-2020
