name,price,location,sold,link,date
MSI Modern 14 B11SB-221ID (Bluestone),12.999.000,KOTA JAKARTA BARAT,1,https://shopee.co.id/MSI-Modern-14-B11SB-221ID-(Bluestone)-i.41303795.9500484999,27-01-2021
"Laptop MSI Modern 15 A10RAS-063ID (9S7-155123-063) Ci5-Gen10/W10H/15.6""/MX330 2GB/8GB/512GB",12.999.000,KOTA JAKARTA BARAT,4,https://shopee.co.id/Laptop-MSI-Modern-15-A10RAS-063ID-(9S7-155123-063)-Ci5-Gen10-W10H-15.6-MX330-2GB-8GB-512GB-i.41303795.6818017536,27-01-2021
OMEN Laptop 15-EN0045AX,17.999.000,KOTA TANGERANG SELATAN,0,https://shopee.co.id/OMEN-Laptop-15-EN0045AX-i.155149633.8302086162,27-01-2021
"MSI Modern 14-B11SB-218ID (Bluestone) - Ci7-1165G7/512G SSD/16GB/MX450-2GB/W10H/14""/2YR",15.999.000,KOTA JAKARTA BARAT,0,https://shopee.co.id/MSI-Modern-14-B11SB-218ID-(Bluestone)-Ci7-1165G7-512G-SSD-16GB-MX450-2GB-W10H-14-2YR-i.41303795.8606063507,27-01-2021
MSI Modern 14 B11SB i5-1135G7 8GB 512SSD MX450 2GB FHD IPS Thin Bezel Win10,12.800.000,KOTA MALANG,4,https://shopee.co.id/MSI-Modern-14-B11SB-i5-1135G7-8GB-512SSD-MX450-2GB-FHD-IPS-Thin-Bezel-Win10-i.164898651.7467409744,27-01-2021
"Laptop MSI Modern 15 A10RAS-063ID (9S7-155123-063) Ci5-Gen10/W10H/15.6""/MX330 2GB/8GB/512GB",12.999.000,KOTA JAKARTA BARAT,4,https://shopee.co.id/Laptop-MSI-Modern-15-A10RAS-063ID-(9S7-155123-063)-Ci5-Gen10-W10H-15.6-MX330-2GB-8GB-512GB-i.41303795.6818017536,27-01-2021
"MSI MODERN 14 B10MW [9S7-14D114-279] Intel i3-10110U 8GB 512GB 14"" FHD WIN10",8.499.000,KOTA MAKASSAR,1,https://shopee.co.id/MSI-MODERN-14-B10MW-9S7-14D114-279-Intel-i3-10110U-8GB-512GB-14-FHD-WIN10-i.43209604.9705253059,27-01-2021
MSI Modern 14 B11SB (9S7-14D212-221),12.999.000,KOTA JAKARTA PUSAT,3,https://shopee.co.id/MSI-Modern-14-B11SB-(9S7-14D212-221)-i.95106793.7265794721,27-01-2021
MSI Modern 15 A10RAS (9S7-155123-063),12.899.000,KOTA JAKARTA PUSAT,14,https://shopee.co.id/MSI-Modern-15-A10RAS-(9S7-155123-063)-i.95106793.3417021680,27-01-2021
Laptop MSI Modern 14 B11SB i5-1135G7 8GB 512GB MX450 2GB  W10 9S7-14D212-221,12.615.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Laptop-MSI-Modern-14-B11SB-i5-1135G7-8GB-512GB-MX450-2GB-W10-9S7-14D212-221-i.148846460.7065591760,27-01-2021
MSI Modern 14 B10RBSW (9S7-14D114-415),13.999.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/MSI-Modern-14-B10RBSW-(9S7-14D114-415)-i.95106793.7770704711,27-01-2021
MSI Modern 15 A11SB / 9S7-155225-071 (Urban Silver),15.999.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/MSI-Modern-15-A11SB-9S7-155225-071-(Urban-Silver)-i.144939634.4166495492,27-01-2021
MSI MODERN 14 B10RBSW-247ID|i5-10210U|8|512|MX350 2G,11.999.000,KOTA MEDAN,1,https://shopee.co.id/MSI-MODERN-14-B10RBSW-247ID-i5-10210U-8-512-MX350-2G-i.34131684.7062149662,27-01-2021
Laptop MSI Modern 14 A10RB 672 - i5-10210U RAM 8GB 512GB MX250 14FHD,11.865.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Laptop-MSI-Modern-14-A10RB-672-i5-10210U-RAM-8GB-512GB-MX250-14FHD-i.120447940.6515269239,27-01-2021
MSI Modern 14 B10RBSW [9S7-14D112-247] i5-10210U 8GB 512GB MX350 2GB,12.935.000,KOTA BANJARMASIN,1,https://shopee.co.id/MSI-Modern-14-B10RBSW-9S7-14D112-247-i5-10210U-8GB-512GB-MX350-2GB-i.42169165.8200519354,27-01-2021
